灰码图案质量检测报告
==================================================

图案总数: 50
分辨率集合: [(2160, 3840)]
是否全部为二值图: True
是否存在全白图: True
是否存在全黑图: True
位平面条纹是否全部存在: True
白/黑图像平均亮度: 白=255.0, 黑=0.0, 对比度=255.0

逐文件检测:
  pattern_38.png: 分辨率=3840x2160, 二值=True, 条纹=True, 亮度std=127.5, 边缘比例=0.0310, 梯度均值=63.28, 梯度比例=0.0620
  pattern_39.png: 分辨率=3840x2160, 二值=True, 条纹=True, 亮度std=127.5, 边缘比例=0.0310, 梯度均值=63.28, 梯度比例=0.0620
  pattern_40.png: 分辨率=3840x2160, 二值=True, 条纹=True, 亮度std=127.5, 边缘比例=0.0625, 梯度均值=127.50, 梯度比例=0.1250
  pattern_41.png: 分辨率=3840x2160, 二值=True, 条纹=True, 亮度std=127.5, 边缘比例=0.0625, 梯度均值=127.50, 梯度比例=0.1250
  pattern_42.png: 分辨率=3840x2160, 二值=True, 条纹=True, 亮度std=127.5, 边缘比例=0.1250, 梯度均值=255.00, 梯度比例=0.2500
  pattern_43.png: 分辨率=3840x2160, 二值=True, 条纹=True, 亮度std=127.5, 边缘比例=0.1250, 梯度均值=255.00, 梯度比例=0.2500
  pattern_44.png: 分辨率=3840x2160, 二值=True, 条纹=True, 亮度std=127.5, 边缘比例=0.2500, 梯度均值=510.00, 梯度比例=0.5000
  pattern_45.png: 分辨率=3840x2160, 二值=True, 条纹=True, 亮度std=127.5, 边缘比例=0.2500, 梯度均值=510.00, 梯度比例=0.5000
  pattern_46.png: 分辨率=3840x2160, 二值=True, 条纹=True, 亮度std=127.5, 边缘比例=0.0005, 梯度均值=1019.06, 梯度比例=0.9991
  pattern_47.png: 分辨率=3840x2160, 二值=True, 条纹=True, 亮度std=127.5, 边缘比例=0.0005, 梯度均值=1019.06, 梯度比例=0.9991
  pattern_48.png: 分辨率=3840x2160, 二值=True, 条纹=False, 亮度std=0.0, 边缘比例=0.0000, 梯度均值=0.00, 梯度比例=0.0000
  pattern_49.png: 分辨率=3840x2160, 二值=True, 条纹=False, 亮度std=0.0, 边缘比例=0.0000, 梯度均值=0.00, 梯度比例=0.0000
